"","x","y","cell","Grass","Temperate Broadleaf Deciduous Tree","Temperate Needleleaf Deciduous Tree","Temperate Needleleaf Evergreen Tree","NA"
"1",-59000,854000,23682,16,0,0,0,0
"2",-59000,862000,23386,118,0,0,0,0
"3",-59000,870000,23090,98,0,0,0,0
"4",-59000,878000,22794,74,0,0,0,0
"5",-59000,886000,22498,52,0,0,0,0
"6",-59000,894000,22202,20,0,0,0,0
"7",-51000,854000,23683,38,0,0,0,0
"8",-51000,862000,23387,152,0,0,0,0
"9",-51000,870000,23091,148,0,0,0,0
"10",-51000,878000,22795,146,0,0,0,0
"11",-51000,886000,22499,144,0,0,0,0
"12",-51000,894000,22203,148,0,0,0,0
"13",-51000,902000,21907,142,0,0,0,0
"14",-51000,910000,21611,116,0,0,0,0
"15",-51000,918000,21315,92,0,0,0,0
"16",-51000,926000,21019,70,0,0,0,0
"17",-51000,934000,20723,38,0,0,0,0
"18",-51000,942000,20427,12,0,0,0,0
"19",-51000,1078000,15395,0,2,0,0,0
"20",-51000,1094000,14803,2,0,0,0,0
"21",-43000,854000,23684,60,2,0,0,0
"22",-43000,862000,23388,144,4,0,0,0
"23",-43000,870000,23092,146,0,0,0,0
"24",-43000,878000,22796,148,0,0,0,0
"25",-43000,886000,22500,148,0,0,0,0
"26",-43000,894000,22204,150,0,0,0,0
"27",-43000,902000,21908,140,0,0,0,0
"28",-43000,910000,21612,148,0,0,0,0
"29",-43000,918000,21316,146,0,0,0,0
"30",-43000,926000,21020,150,0,0,0,0
"31",-43000,934000,20724,148,0,0,0,0
"32",-43000,942000,20428,148,0,0,0,0
"33",-43000,950000,20132,138,0,0,0,0
"34",-43000,958000,19836,110,0,0,0,0
"35",-43000,966000,19540,86,0,0,0,0
"36",-43000,974000,19244,66,2,0,0,0
"37",-43000,982000,18948,40,0,0,0,0
"38",-43000,990000,18652,18,0,0,0,0
"39",-43000,998000,18356,2,0,0,0,0
"40",-43000,1070000,15692,26,0,0,0,0
"41",-43000,1078000,15396,88,2,0,0,0
"42",-43000,1086000,15100,160,0,0,0,0
"43",-43000,1094000,14804,138,0,0,0,0
"44",-43000,1102000,14508,72,6,0,0,0
"45",-35000,854000,23685,88,0,0,0,0
"46",-35000,862000,23389,150,0,0,0,0
"47",-35000,870000,23093,144,2,0,0,0
"48",-35000,878000,22797,146,0,0,0,0
"49",-35000,886000,22501,150,0,0,0,0
"50",-35000,894000,22205,152,0,0,0,0
"51",-35000,902000,21909,150,0,0,0,0
"52",-35000,910000,21613,150,0,0,0,0
"53",-35000,918000,21317,146,0,0,0,0
"54",-35000,926000,21021,140,0,0,0,0
"55",-35000,934000,20725,148,0,0,0,0
"56",-35000,942000,20429,134,2,0,0,0
"57",-35000,950000,20133,144,0,0,0,0
"58",-35000,958000,19837,136,0,0,0,0
"59",-35000,966000,19541,155,1,0,0,0
"60",-35000,974000,19245,144,0,0,0,0
"61",-35000,982000,18949,155,5,0,0,0
"62",-35000,990000,18653,141,7,0,0,0
"63",-35000,998000,18357,144,2,0,0,0
"64",-35000,1006000,18061,118,0,0,0,0
"65",-35000,1014000,17765,86,0,0,0,0
"66",-35000,1022000,17469,60,0,0,0,0
"67",-35000,1030000,17173,34,0,0,0,0
"68",-35000,1038000,16877,12,0,0,0,0
"69",-35000,1062000,15989,10,0,0,0,0
"70",-35000,1070000,15693,138,0,0,0,0
"71",-35000,1078000,15397,152,0,0,0,0
"72",-35000,1086000,15101,182,0,0,0,0
"73",-35000,1094000,14805,144,0,0,0,0
"74",-35000,1102000,14509,144,0,0,0,0
"75",-35000,1110000,14213,28,0,0,0,0
"76",-27000,854000,23686,122,0,0,0,0
"77",-27000,862000,23390,158,0,0,0,0
"78",-27000,870000,23094,164,0,0,0,0
"79",-27000,878000,22798,158,0,0,0,0
"80",-27000,886000,22502,156,0,0,0,0
"81",-27000,894000,22206,160,0,0,0,0
"82",-27000,902000,21910,152,0,0,0,0
"83",-27000,910000,21614,148,0,0,0,0
"84",-27000,918000,21318,150,0,0,0,0
"85",-27000,926000,21022,148,0,0,0,0
"86",-27000,934000,20726,148,0,0,0,0
"87",-27000,942000,20430,134,0,0,0,0
"88",-27000,950000,20134,144,0,0,0,0
"89",-27000,958000,19838,148,0,0,0,0
"90",-27000,966000,19542,150,2,0,0,0
"91",-27000,974000,19246,146,4,0,0,0
"92",-27000,982000,18950,155,3,0,0,0
"93",-27000,990000,18654,144,0,0,0,0
"94",-27000,998000,18358,155,1,0,0,0
"95",-27000,1006000,18062,142,0,0,0,0
"96",-27000,1014000,17766,142,0,0,0,0
"97",-27000,1022000,17470,142,0,0,0,0
"98",-27000,1030000,17174,146,0,0,0,0
"99",-27000,1038000,16878,140,4,0,0,0
"100",-27000,1046000,16582,122,2,0,0,0
"101",-27000,1054000,16286,100,2,0,0,0
"102",-27000,1062000,15990,120,0,0,0,0
"103",-27000,1070000,15694,140,0,0,0,0
"104",-27000,1078000,15398,150,0,0,0,0
"105",-27000,1086000,15102,174,0,0,0,0
"106",-27000,1094000,14806,146,0,0,0,0
"107",-27000,1102000,14510,148,0,0,0,0
"108",-27000,1110000,14214,140,0,0,0,0
"109",-27000,1118000,13918,88,0,0,0,0
"110",-27000,1126000,13622,62,0,0,0,0
"111",-27000,1134000,13326,46,0,0,0,0
"112",-27000,1142000,13030,8,0,0,0,0
"113",-27000,1150000,12734,4,0,0,0,0
"114",-27000,1158000,12438,2,0,0,0,0
"115",-27000,1174000,11846,26,0,0,0,0
"116",-27000,1182000,11550,66,6,0,0,0
"117",-27000,1198000,10958,90,2,0,0,0
"118",-27000,1206000,10662,128,2,0,0,0
"119",-27000,1214000,10366,106,2,0,0,0
"120",-27000,1222000,10070,80,0,0,0,0
"121",-27000,1230000,9774,42,4,0,0,0
"122",-27000,1238000,9478,1,15,0,0,0
"123",-27000,1246000,9182,21,11,0,0,0
"124",-27000,1254000,8886,12,4,0,0,0
"125",-27000,1262000,8590,4,10,0,0,0
"126",-27000,1342000,5630,2,2,0,0,0
"127",-27000,1350000,5334,12,6,0,0,0
"128",-27000,1358000,5038,24,4,0,0,0
"129",-27000,1374000,4446,53,5,0,0,0
"130",-27000,1382000,4150,44,14,0,0,0
"131",-27000,1390000,3854,8,10,0,0,0
"132",-27000,1398000,3558,2,6,0,0,0
"133",-27000,1406000,3262,2,4,0,0,0
"134",-19000,846000,23983,4,0,0,0,0
"135",-19000,854000,23687,138,0,0,0,0
"136",-19000,862000,23391,148,0,0,0,0
"137",-19000,870000,23095,152,0,0,0,0
"138",-19000,878000,22799,146,0,0,0,0
"139",-19000,886000,22503,152,0,0,0,0
"140",-19000,894000,22207,148,0,0,0,0
"141",-19000,902000,21911,156,2,0,0,0
"142",-19000,910000,21615,158,0,0,0,0
"143",-19000,918000,21319,160,0,0,0,0
"144",-19000,926000,21023,162,0,0,0,0
"145",-19000,934000,20727,156,2,0,0,0
"146",-19000,942000,20431,152,0,0,0,0
"147",-19000,950000,20135,150,0,0,0,0
"148",-19000,958000,19839,150,0,0,0,0
"149",-19000,966000,19543,176,2,0,0,0
"150",-19000,974000,19247,147,3,0,0,0
"151",-19000,982000,18951,152,0,0,0,0
"152",-19000,990000,18655,146,2,0,0,0
"153",-19000,998000,18359,158,0,0,0,0
"154",-19000,1006000,18063,148,0,0,0,0
"155",-19000,1014000,17767,144,0,0,0,0
"156",-19000,1022000,17471,148,0,0,0,0
"157",-19000,1030000,17175,150,0,0,0,0
"158",-19000,1038000,16879,148,0,0,0,0
"159",-19000,1046000,16583,124,2,0,0,0
"160",-19000,1054000,16287,134,0,0,0,0
"161",-19000,1062000,15991,104,2,0,0,0
"162",-19000,1070000,15695,142,0,0,0,0
"163",-19000,1078000,15399,136,0,0,0,0
"164",-19000,1086000,15103,156,0,0,0,0
"165",-19000,1094000,14807,140,0,0,0,0
"166",-19000,1102000,14511,142,0,0,0,0
"167",-19000,1110000,14215,148,0,0,0,0
"168",-19000,1118000,13919,150,0,0,0,0
"169",-19000,1126000,13623,144,0,0,0,0
"170",-19000,1134000,13327,160,0,0,0,0
"171",-19000,1142000,13031,150,0,0,0,0
"172",-19000,1150000,12735,158,0,0,0,0
"173",-19000,1158000,12439,157,1,0,0,0
"174",-19000,1166000,12143,125,3,0,0,0
"175",-19000,1174000,11847,142,0,0,0,0
"176",-19000,1182000,11551,152,0,0,0,0
"177",-19000,1190000,11255,126,0,0,0,0
"178",-19000,1198000,10959,146,0,0,0,0
"179",-19000,1206000,10663,148,0,0,0,0
"180",-19000,1214000,10367,148,0,0,0,0
"181",-19000,1222000,10071,150,0,0,0,0
"182",-19000,1230000,9775,146,0,0,0,0
"183",-19000,1238000,9479,146,4,0,0,0
"184",-19000,1246000,9183,144,6,0,0,0
"185",-19000,1254000,8887,143,7,0,0,0
"186",-19000,1262000,8591,154,0,0,0,0
"187",-19000,1270000,8295,111,29,0,0,0
"188",-19000,1278000,7999,110,14,0,0,0
"189",-19000,1286000,7703,90,8,0,0,0
"190",-19000,1294000,7407,56,10,0,0,0
"191",-19000,1302000,7111,56,2,0,0,0
"192",-19000,1310000,6815,34,8,0,0,0
"193",-19000,1318000,6519,40,12,0,0,0
"194",-19000,1326000,6223,80,4,0,0,0
"195",-19000,1334000,5927,80,38,0,0,0
"196",-19000,1342000,5631,76,62,0,0,0
"197",-19000,1350000,5335,124,20,0,0,0
"198",-19000,1358000,5039,148,0,0,0,0
"199",-19000,1366000,4743,92,0,0,0,0
"200",-19000,1374000,4447,136,2,0,0,0
"201",-19000,1382000,4151,137,9,0,0,0
"202",-19000,1390000,3855,130,18,0,0,0
"203",-19000,1398000,3559,121,21,0,0,0
"204",-19000,1406000,3263,88,16,0,0,0
"205",-19000,1414000,2967,95,11,0,0,0
"206",-19000,1422000,2671,104,12,0,0,0
"207",-19000,1430000,2375,22,2,0,0,0
"208",-19000,1438000,2079,8,0,0,0,0
"209",-19000,1446000,1783,24,6,0,0,0
"210",-19000,1454000,1487,36,8,0,0,0
"211",-19000,1462000,1191,47,15,0,0,0
"212",-19000,1470000,895,21,17,0,0,0
"213",-11000,846000,23984,20,0,0,0,0
"214",-11000,854000,23688,148,0,0,0,0
"215",-11000,862000,23392,148,0,0,0,0
"216",-11000,870000,23096,150,0,0,0,0
"217",-11000,878000,22800,146,0,0,0,0
"218",-11000,886000,22504,146,0,0,0,0
"219",-11000,894000,22208,146,0,0,0,0
"220",-11000,902000,21912,149,1,0,0,0
"221",-11000,910000,21616,148,0,0,0,0
"222",-11000,918000,21320,144,0,0,0,0
"223",-11000,926000,21024,158,0,0,0,0
"224",-11000,934000,20728,144,6,0,0,0
"225",-11000,942000,20432,148,2,0,0,0
"226",-11000,950000,20136,141,3,0,0,0
"227",-11000,958000,19840,152,0,0,0,0
"228",-11000,966000,19544,160,2,0,0,0
"229",-11000,974000,19248,172,0,0,0,0
"230",-11000,982000,18952,146,0,0,0,0
"231",-11000,990000,18656,148,0,0,0,0
"232",-11000,998000,18360,154,0,0,0,0
"233",-11000,1006000,18064,152,0,0,0,0
"234",-11000,1014000,17768,148,0,0,0,0
"235",-11000,1022000,17472,152,0,0,0,0
"236",-11000,1030000,17176,148,0,0,0,0
"237",-11000,1038000,16880,120,0,0,0,0
"238",-11000,1046000,16584,140,0,0,0,0
"239",-11000,1054000,16288,146,0,0,0,0
"240",-11000,1062000,15992,150,0,0,0,0
"241",-11000,1070000,15696,162,0,0,0,0
"242",-11000,1078000,15400,160,0,0,0,0
"243",-11000,1086000,15104,172,0,0,0,0
"244",-11000,1094000,14808,158,0,0,0,0
"245",-11000,1102000,14512,144,0,0,0,0
"246",-11000,1110000,14216,138,0,0,0,0
"247",-11000,1118000,13920,134,0,0,0,0
"248",-11000,1126000,13624,148,0,0,0,0
"249",-11000,1134000,13328,158,0,0,0,0
"250",-11000,1142000,13032,150,0,0,0,0
"251",-11000,1150000,12736,166,0,0,0,0
"252",-11000,1158000,12440,146,0,0,0,0
"253",-11000,1166000,12144,148,0,0,0,0
"254",-11000,1174000,11848,150,0,0,0,0
"255",-11000,1182000,11552,152,0,0,0,0
"256",-11000,1190000,11256,150,0,0,0,0
"257",-11000,1198000,10960,138,3,1,0,0
"258",-11000,1206000,10664,152,0,0,0,0
"259",-11000,1214000,10368,148,0,0,0,0
"260",-11000,1222000,10072,150,0,0,0,0
"261",-11000,1230000,9776,147,3,0,0,0
"262",-11000,1238000,9480,143,9,0,0,0
"263",-11000,1246000,9184,150,0,0,0,0
"264",-11000,1254000,8888,148,0,0,0,0
"265",-11000,1262000,8592,160,2,0,0,0
"266",-11000,1270000,8296,139,13,0,0,0
"267",-11000,1278000,8000,154,0,0,0,0
"268",-11000,1286000,7704,148,2,0,0,0
"269",-11000,1294000,7408,148,0,0,0,0
"270",-11000,1302000,7112,158,0,0,0,0
"271",-11000,1310000,6816,144,2,0,0,0
"272",-11000,1318000,6520,150,0,0,0,0
"273",-11000,1326000,6224,144,2,0,0,0
"274",-11000,1334000,5928,116,30,0,0,0
"275",-11000,1342000,5632,134,12,0,0,0
"276",-11000,1350000,5336,152,0,0,0,0
"277",-11000,1358000,5040,148,0,0,0,0
"278",-11000,1366000,4744,144,0,0,0,0
